Product Name,Price
HandsFull Premium Cashew Nuts (200gm X 2) 400 GMS,"₹475 (₹118.75/count)
₹758"
"White Gold W240 Grade Dry Roasted Cashews, Barbecue 200 Grams",₹395 (₹197.50/100 g)
Stylo Split Cashew Nuts Broken 2 Pieces - 1kg | Kaju Tukadi (Kaju 2 Tukda / Kaju Fada),"₹1,329 (₹132.90/100 g)
₹1,800"
TOUCHSTONE - our motto is TOUCHSTONE Jumbo Whole Cashew Nuts W190-1 kg (1000 Gms),₹725 (₹51.38/Oz)
Dryo Premium Quality 100% Natural Fresh Raw Whole Cashew Nuts 500gm Grams,"₹999 (₹99.90/100 g)
₹1,599"
"Tong Garden Salted Cashewnuts, 400 Gm","₹199 (₹199/100 g)
₹499"
"Anandi-Dry Fruits , W240-Natural Cashew 500gms. and California Almond 500gms. Super Saver Combo Pack (Badam & Kaju) in Jar Packing","₹603 (₹603/count)
₹669"
HYPERFOODS RawFruit by Whole Cashew Popular & Premium Plain Raw Cashewnut aju Dry Fruit 100 Grams PET Jar Mangalore W400,₹920 (₹184/100 g)
"Urban Platter Whole Natural Cashew Nuts (with Skin), 400g","₹499 (₹99.80/100 g)
₹999"
PUREHEART Nutreat Salted Cashews 454 gm | 100% Vegetarian | No Added Colors | No Preservatives,"₹275 (₹110/100 g)
₹405"
"Delinut Premium Dry Roasted Cashew Nuts, Tangy Chilli Garlic, 500 Grams Pouch","₹970 (₹97/100 g)
₹1,960"
"Anandi® Cashew 500gms , Anandi Kaju 500gms, Dry Fruit , Meva , Cashew Nuts","₹530 (₹106/100 g)
₹700"
"Bola-Premium Quality Cashew Nuts NW (Natural Wholes with Skin-Chilkwale Kaju), 250 Grams","₹470
₹800"
Evergreen Farms Fresh Whole Roasted and Salted Cashews Extra Crunchy Kaju in Pet Jar 1 Kg,"₹945 (₹105/100 g)
₹1,080"
Bague Premium Quality 100% Natural raw Fried Cashew Nuts Whole kaju Cashews cashewnuts 500gm Grams,"₹540 (₹108/100 g)
₹970"
The Farm Basket Cashews Nuts Broken 4 Pieces ( Kaju Tukada ) (Pack of 1 KILOGRAMS),"₹955 (₹95.50/100 g)
₹1,270"
ZEONELY MART Kaju 2 Tukda | Cashews Nuts | Kaju Tukadi | Half Cashew Nuts (500Grams),"₹315 (₹52.50/Oz)
₹395"
Tulsi Whole Cashew Premium Combo Pack 900g (200g x 2 + 500g),"₹240 (₹166.67/100 g)
₹300"
"Shara's Dry Fruits Cashew Nuts, 500 g","₹239
₹320"
"Miltop Cashew W320, 1kg","₹390 (₹39,000/100 g)
₹450"
Rostaa Roasted & Salted Cashew 170gm,"₹639 (₹127.80/100 g)
₹825"
HYPERFOODS RawFruit Classic Roasted Masala Cashews Kaju 250gm PET Jar,"₹975 (₹121.88/100 g)
₹1,299"
"Nutty Gritties Roasted Cashews, Lightly Salted - 144g ( Pack of 3 - 48g Each )",₹60 (₹214.29/100 g)
SOUTHERN FLAVOURS Cashew Nut Pepper Roasted Black Color - 1 Pack (200g),"₹499 (₹249.50/count)
₹750"
Bankatji Cashews Oven Roasted - Chaska Maska (Creamy Onion) 250 grams,"₹590 (₹147.50/100 g)
₹870"
TOUCHSTONE - our motto is TOUCHSTONE- Premium Whole Cashew Nuts W240 (500 g),"₹915 (₹915/count)
₹2,000"
FreshoGen Cashew Nut Kerala Origin Premium Whole Kaju Plain & Raw - 1 Kg,"₹999 (₹111/100 g)
₹1,399"
"Nutty Gritties Southern Pepper Cashews | Cashewnuts, Dry Roasted, Non Fried, Zero Oil, - 28g","₹243 (₹2.43/Item)
₹250"
"Regency W320 Grade Cashew, 250g","₹400 (₹160/100 g)
₹999"
"Small Talk Spicy Lemon Pepper Roasted Cashews, 220 GMS (110 GMS * 2 Packs)| No Cholesterol| Gluten Free| Rich in Omega 3 & Antioxidants| Perfect Sharing Pack","₹400 (₹80/100 g)
₹635"
"Nutty Gritties Jumbo Roasted Cashew Nuts, Lightly Salted, Dry Roasted, Non Fried, Zero Oil - (Pack of 2-200g Each),400g","₹1,080 (₹108/100 g)
₹1,250"
"Exotes Popular Cashews Vacuum Pouch, 1000 g","₹235 (₹235/count)
₹320"
"Forest Found Oven Roasted and Salted Cashew Nuts | W320 Grade| Premium Crunchy Kaju | Low Sodium, Oil Free, Roasted by Dry Roasting Technique (900 Gram)","₹229 (₹229/count)
₹340"
"Lagom Indian Cashew Nuts W320 (Kaju), 500g",₹360 (₹180/100 g)
Nourish Organics Honey Roasted Cashews 100Gr,"₹499 (₹199.60/100 g)
₹549"
HyperFoods® RawFruit Whole Cashew Popular & Premium Cashewnut Kaju 250G PET Jar Mangalore W240 : 250 Grams X 1 Jar,"₹520 (₹104/100 g)
₹700"
URBANS Premium Borma/Unpeeled Cashews | Fresh Unpeeled Cashews with Skin | Export Quality Whole Cashew | Premium Grade Cashew Nuts Kaju - 500g,"₹650 (₹162.50/100 g)
₹770"
"Nutty Gritties Premium Whole Cashews Nuts W240, 200g","₹504 (₹1.01/Item)
₹750"
"Stylo Natural Premium Whole Raw Organic Jumbo Large Size Cashew Nuts, 1 kg",₹300 (₹375/100 g)
looms & weaves - Premium Non Roasted Cashew from Kerala - 500 gm,"₹499 (₹2.50/gram)
₹999"
"Miltop Cashew 320, 250g","₹300 (₹120/100 g)
₹450"
CazooTree Salt n Pepper Flavoured Cashew Nut,"₹250 (₹100/100 g)
₹320"
The Nut Makers Chilli Cheese Cashews -200gms,"₹499 (₹99.80/100 g)
₹1,399"
Looms & Weaves Roasted & Salted Cashew Nuts From Kerala 250 Gm,"₹869 (₹86,900/100 g)
₹1,256"
Jumbo Dry Fruit Whole Raw Cashewnuts (500gm),₹600 (₹142.86/100 g)
"Fruitri Propular Cashew Broken, Kaju (2)","₹1,249 (₹1,24,900/100 g)
₹1,499"
"Puramio Roasted Cashew Black Pepper, 150g","₹241 (₹120.50/100 g)
₹335"
"DiSano Whole Cashew Nuts (Kaju), 200g","₹1,199 (₹119.90/100 g)
₹1,699"
Dry Fruits Whole Cashews Nuts (kaju)1kg - Healthy Dryfruit Nuts,₹610 (₹610/count)
Better Spiced Cashews - Premium Jumbo Cashews roasted & flavoured using Extra Virgin Olive Oil & traditional Indian Spices (100 g),₹100
"EXOTES Cashew Broken Vacuum Packed Popular Pouch, 1 kg","₹400 (₹80/100 g)
₹1,496"
"Kerala Natural Spices Cashew Nut Big Size320,100% Cashews-500gm","₹449 (₹149.67/100 g)
₹550"
Jabsons Roasted Cashew Nut Black Pepper,₹100 (₹100/count)
"Mother Organic Cashew Nut, 500g","₹850
₹1,800"
RK's Mom's Touch 100%Premium Cashews Nuts Broken 2 - 4 Pieces - Kaju Tukadi | Vacuumed Pack.1kg(1000g),"₹260 (₹52/100 g)
₹280"
"D'nature Fresh Roasted Masala Black Pepper Cashews, 250 g","₹335 (₹223.33/100 g)
₹435"
"Stylo Retail Jumbo Dry Fruits Cashew Nuts, 500 g","₹699 (₹139.80/100 g)
₹900"
Shubh Labh Premium Roasted Masala Cashew - Roasted Golden Brown Masala Kaju (250g),"₹1,295 (₹130.81/100 g)
₹1,890"
"Ancy Foods 100% Natural Cashews Kernels 2 Piece Split Nut, Big Size, (Kaju 2 Tukda) Dry Fruit,500gm","₹899 (₹449.50/count)
₹2,040"
Nuts Hub Premium Quality Fresh W320 raw Whole Cashew Nuts 200gm 250gm 450gm 400gm 500gm 750gm 1000gm 1kg Grams (200 Grams),"₹496 (₹330.67/100 g)
₹870"
